date,Production
01/01/2014 01:00,112467
01/01/2014 02:00,84612
01/01/2014 03:00,54776
01/01/2014 04:00,20260
01/01/2014 05:00,3600
01/01/2014 06:00,83
01/01/2014 07:00,1
01/01/2014 08:00,18
01/01/2014 09:00,1
01/01/2014 10:00,7
01/01/2014 11:00,0
01/01/2014 12:00,0
01/01/2014 13:00,7
01/01/2014 14:00,112
01/01/2014 15:00,37
01/01/2014 16:00,1
01/01/2014 17:00,0
01/01/2014 19:00,0
01/01/2014 20:00,30
01/01/2014 21:00,132
01/01/2014 22:00,1
01/01/2014 23:00,0
02/01/2014 00:00,0
02/01/2014 01:00,269
02/01/2014 02:00,128
02/01/2014 03:00,83
02/01/2014 04:00,0
02/01/2014 05:00,0
02/01/2014 06:00,0
02/01/2014 08:00,0
02/01/2014 09:00,0
02/01/2014 12:00,262
02/01/2014 13:00,9992
02/01/2014 14:00,15681
02/01/2014 15:00,13586
02/01/2014 16:00,13486
02/01/2014 17:00,12804
02/01/2014 18:00,29676
02/01/2014 19:00,42746
02/01/2014 20:00,43638
02/01/2014 21:00,96122
02/01/2014 22:00,81547
02/01/2014 23:00,42931
03/01/2014 00:00,123460
03/01/2014 01:00,167778
03/01/2014 02:00,178652
03/01/2014 03:00,171470
03/01/2014 04:00,189326
03/01/2014 05:00,199502
03/01/2014 06:00,198903
03/01/2014 07:00,197304
03/01/2014 08:00,198086
03/01/2014 09:00,197105
03/01/2014 10:00,194808
03/01/2014 11:00,196407
03/01/2014 12:00,197306
03/01/2014 13:00,184933
03/01/2014 14:00,164363
03/01/2014 15:00,125843
03/01/2014 16:00,115661
03/01/2014 17:00,103094
03/01/2014 18:00,123241
03/01/2014 19:00,98991
03/01/2014 20:00,65156
03/01/2014 21:00,65270
03/01/2014 22:00,92607
03/01/2014 23:00,127612
04/01/2014 00:00,121530
04/01/2014 01:00,91992
04/01/2014 02:00,45096
04/01/2014 03:00,30831
04/01/2014 04:00,45746
04/01/2014 05:00,55532
04/01/2014 06:00,38957
04/01/2014 07:00,29661
04/01/2014 08:00,8094
04/01/2014 09:00,400
04/01/2014 10:00,0
04/01/2014 11:00,0
04/01/2014 12:00,0
04/01/2014 13:00,0
04/01/2014 14:00,0
04/01/2014 15:00,0
04/01/2014 16:00,0
04/01/2014 17:00,0
04/01/2014 18:00,0
04/01/2014 19:00,0
04/01/2014 20:00,0
04/01/2014 21:00,0
04/01/2014 22:00,100
04/01/2014 23:00,2797
05/01/2014 00:00,7193
05/01/2014 01:00,16180
05/01/2014 02:00,25560
05/01/2014 03:00,32650
05/01/2014 04:00,42634
05/01/2014 05:00,34742
05/01/2014 06:00,54609
05/01/2014 07:00,70681
05/01/2014 08:00,56012
05/01/2014 09:00,46824
05/01/2014 10:00,27252
05/01/2014 11:00,13076
05/01/2014 12:00,0
05/01/2014 13:00,4591
05/01/2014 14:00,12276
05/01/2014 15:00,8186
05/01/2014 16:00,8081
05/01/2014 17:00,9383
05/01/2014 18:00,6788
05/01/2014 19:00,7191
05/01/2014 20:00,1201
05/01/2014 21:00,2998
05/01/2014 22:00,5493
05/01/2014 23:00,5892
